CODE,DATE,GENERATION,YEAR,LOCATION,TREE,TREE WRIENTATIWN,PLANT PART,TREATMENT,INITIAL N1,SURVIVORS,PREDATED SCALES,PARASITISED SCALES,MORTALITY,PARASITISM,CORRECTED MORTALITY,,,,,
MH5S,12/2/14,3rd,1,IVIA,5,S,Leaf,Exclusion,17,3,14,0,82.4,0.0,56.30,,,,,
MH5O,12/2/14,3rd,1,IVIA,5,W,Leaf,Semi_Exclusion,34,2,32,3,94.1,8.8,85.43,,,,,
MH7E,12/2/14,3rd,1,IVIA,7,E,Leaf,Semi_Exclusion,11,0,11,0,100.0,0.0,100.00,,,,,
MH7N,12/2/14,3rd,1,IVIA,7,N,Leaf,Predation,23,3,20,0,87.0,0.0,67.70,,,,,
MH7S,12/2/14,3rd,1,IVIA,7,S,Leaf,Semi_Exclusion,11,3,8,0,72.7,0.0,32.47,,,,,
MH8E,12/2/14,3rd,1,IVIA,8,E,Leaf,Predation,33,1,32,0,97.0,0.0,92.50,,,,,
MH8N,12/2/14,3rd,1,IVIA,8,N,Leaf,Exclusion,13,9,4,0,30.8,0.0,-71.43,,,,,
MH8O,12/2/14,3rd,1,IVIA,8,W,Leaf,Semi_Exclusion,21,0,21,0,100.0,0.0,100.00,,,,,
MH9E,12/2/14,3rd,1,IVIA,9,E,Leaf,Exclusion,21,17,4,0,19.0,0.0,-100.45,,,,,
MH9O,12/2/14,3rd,1,IVIA,9,W,Leaf,Predation,27,0,27,0,100.0,0.0,100.00,,,,,
MH12E,12/2/14,3rd,1,IVIA,12,E,Leaf,Exclusion,22,1,21,0,95.5,0.0,88.74,,,,,
MH12N,12/2/14,3rd,1,IVIA,12,N,Leaf,Semi_Exclusion,23,5,18,0,78.3,0.0,46.17,,,,,
MH12O,12/2/14,3rd,1,IVIA,12,W,Leaf,Predation,22,0,22,0,100.0,0.0,100.00,,,,,
MH15E,12/2/14,3rd,1,IVIA,15,E,Leaf,Exclusion,12,0,12,0,100.0,0.0,100.00,,,,,
MH15O,12/2/14,3rd,1,IVIA,15,W,Leaf,Predation,34,0,34,0,100.0,0.0,100.00,,,,,
MH16E,12/2/14,3rd,1,IVIA,16,E,Leaf,Semi_Exclusion,24,3,21,0,87.5,0.0,69.05,,,,,
MF1E,12/2/14,3rd,1,IVIA,1,E,Fruit,Predation,18,1,17,0,94.4,0.0,86.24,,,,,
MF1O,12/2/14,3rd,1,IVIA,1,W,Fruit,Exclusion,19,19,0,0,0.0,0.0,-147.62,,,,,
MF1S,12/2/14,3rd,1,IVIA,1,S,Fruit,Predation,18,1,17,0,94.4,0.0,86.24,,,,,
MF2E,12/2/14,3rd,1,IVIA,2,E,Fruit,Semi_Exclusion,17,1,16,1,94.1,5.9,85.43,,,,,
MF2N,12/2/14,3rd,1,IVIA,2,N,Fruit,Exclusion,27,9,18,1,66.7,3.7,17.46,,,,,
MF2S,12/2/14,3rd,1,IVIA,2,S,Fruit,Semi_Exclusion,20,0,20,0,100.0,0.0,100.00,,,,,
MF3N,12/2/14,3rd,1,IVIA,3,N,Fruit,Predation,14,0,14,0,100.0,0.0,100.00,,,,,
MF3O,12/2/14,3rd,1,IVIA,3,W,Fruit,Semi_Exclusion,22,1,21,0,95.5,0.0,88.74,,,,,
MF4N,12/2/14,3rd,1,IVIA,4,N,Fruit,Semi_Exclusion,24,1,23,0,95.8,0.0,89.68,,,,,
MF4O,12/2/14,3rd,1,IVIA,4,W,Fruit,Exclusion,30,22,8,0,26.7,0.0,-81.59,,,,,
MF5E,12/2/14,3rd,1,IVIA,5,E,Fruit,Semi_Exclusion,31,1,30,0,96.8,0.0,92.01,,,,,
MF5N,12/2/14,3rd,1,IVIA,5,N,Fruit,Exclusion,19,6,13,0,68.4,0.0,21.80,,,,,
MF5S,12/2/14,3rd,1,IVIA,5,S,Fruit,Semi_Exclusion,13,0,13,2,100.0,15.4,100.00,,,,,
MF6E,12/2/14,3rd,1,IVIA,6,E,Fruit,Exclusion,38,17,21,0,55.3,0.0,-10.78,,,,,
MF6N,12/2/14,3rd,1,IVIA,6,N,Fruit,Predation,26,0,26,0,100.0,0.0,100.00,,,,,
MF6O,12/2/14,3rd,1,IVIA,6,W,Fruit,Semi_Exclusion,20,3,17,0,85.0,0.0,62.86,,,,,
MF6S,12/2/14,3rd,1,IVIA,6,S,Fruit,Exclusion,28,0,28,3,100.0,10.7,100.00,,,,,
MF7E,12/2/14,3rd,1,IVIA,7,E,Fruit,Predation,16,0,16,0,100.0,0.0,100.00,,,,,
MF7N,12/2/14,3rd,1,IVIA,7,N,Fruit,Semi_Exclusion,12,0,12,1,100.0,8.3,100.00,,,,,
MF7O,12/2/14,3rd,1,IVIA,7,W,Fruit,Exclusion,11,3,8,0,72.7,0.0,32.47,,,,,
MF7S,12/2/14,3rd,1,IVIA,7,S,Fruit,Predation,14,0,14,0,100.0,0.0,100.00,,,,,
MF8E,12/2/14,3rd,1,IVIA,8,E,Fruit,Semi_Exclusion,20,1,19,2,95.0,10.0,87.62,,,,,
MF8O,12/2/14,3rd,1,IVIA,8,W,Fruit,Predation,15,3,12,0,80.0,0.0,50.48,,,,,
MF9E,12/2/14,3rd,1,IVIA,9,E,Fruit,Exclusion,12,6,6,0,50.0,0.0,-23.81,,,,,
MF9O,12/2/14,3rd,1,IVIA,9,W,Fruit,Semi_Exclusion,10,1,9,1,90.0,10.0,75.24,,,,,
MF9S,12/2/14,3rd,1,IVIA,9,S,Fruit,Exclusion,13,6,7,0,53.8,0.0,-14.29,,,,,
MF10E,12/2/14,3rd,1,IVIA,10,E,Fruit,Predation,26,0,26,0,100.0,0.0,100.00,,,,,
MF10N,12/2/14,3rd,1,IVIA,10,N,Fruit,Semi_Exclusion,11,0,11,0,100.0,0.0,100.00,,,,,
MF10O,12/2/14,3rd,1,IVIA,10,W,Fruit,Exclusion,10,4,6,1,60.0,10.0,0.95,,,,,
MF11E,12/2/14,3rd,1,IVIA,11,E,Fruit,Semi_Exclusion,29,4,25,0,86.2,0.0,65.85,,,,,
MF11N,12/2/14,3rd,1,IVIA,11,N,Fruit,Exclusion,18,13,5,0,27.8,0.0,-78.84,,,,,
MF12E,12/2/14,3rd,1,IVIA,12,E,Fruit,Exclusion,17,10,7,6,41.2,35.3,-45.66,,,,,
MF12N,12/2/14,3rd,1,IVIA,12,N,Fruit,Predation,16,2,14,0,87.5,0.0,69.05,,,,,
MF12O,12/2/14,3rd,1,IVIA,12,W,Fruit,Semi_Exclusion,14,7,7,2,50.0,14.3,-23.81,,,,,
MF12S,12/2/14,3rd,1,IVIA,12,S,Fruit,Exclusion,15,0,15,0,100.0,0.0,100.00,,,,,
MF13E,12/2/14,3rd,1,IVIA,13,E,Fruit,Predation,31,1,30,0,96.8,0.0,92.01,,,,,
MF13N,12/2/14,3rd,1,IVIA,13,N,Fruit,Semi_Exclusion,27,0,27,0,100.0,0.0,100.00,,,,,
MF13O,12/2/14,3rd,1,IVIA,13,W,Fruit,Exclusion,42,18,24,0,57.1,0.0,-6.12,,,,,
MF13S,12/2/14,3rd,1,IVIA,13,S,Fruit,Predation,29,0,29,0,100.0,0.0,100.00,,,,,
MF14E,12/2/14,3rd,1,IVIA,14,E,Fruit,Semi_Exclusion,29,5,24,0,82.8,0.0,57.31,,,,,
MF14N,12/2/14,3rd,1,IVIA,14,N,Fruit,Exclusion,26,0,26,0,100.0,0.0,100.00,,,,,
MF14O,12/2/14,3rd,1,IVIA,14,W,Fruit,Predation,15,0,15,0,100.0,0.0,100.00,,,,,
MF14S,12/2/14,3rd,1,IVIA,14,S,Fruit,Semi_Exclusion,24,4,20,1,83.3,4.2,58.73,,,,,
MF15E,12/2/14,3rd,1,IVIA,15,E,Fruit,Exclusion,27,5,22,3,81.5,11.1,54.14,,,,,
MF15N,12/2/14,3rd,1,IVIA,15,N,Fruit,Predation,22,0,22,0,100.0,0.0,100.00,,,,,
MF15S,12/2/14,3rd,1,IVIA,15,S,Fruit,Exclusion,14,12,2,0,14.3,0.0,-112.24,,,,,
MF16N,12/2/14,3rd,1,IVIA,16,N,Fruit,Semi_Exclusion,21,0,21,0,100.0,0.0,100.00,,,,,
MH1N,7/14/15,1st,1,Algimia,1,N,Leaf,Predation,25,0,25,0,100.0,0.0,100.00,,,,,
MH1S,7/14/15,1st,1,Algimia,1,S,Leaf,Semi_Exclusion,14,2,12,0,85.7,0.0,57.94,,,,,
MH2E,7/14/15,1st,1,Algimia,2,E,Leaf,Exclusion,18,12,6,0,33.3,0.0,-96.30,,,,,
MH2O,7/14/15,1st,1,Algimia,2,W,Leaf,Predation,11,0,11,0,100.0,0.0,100.00,,,,,
MH2S,7/14/15,1st,1,Algimia,2,S,Leaf,Semi_Exclusion,11,0,11,0,100.0,0.0,100.00,,,,,
MH3E,7/14/15,1st,1,Algimia,3,E,Leaf,Exclusion,21,16,5,0,23.8,0.0,-124.34,,,,,
MH3N,7/14/15,1st,1,Algimia,3,N,Leaf,Predation,31,0,31,0,100.0,0.0,100.00,,,,,
MH3O,7/14/15,1st,1,Algimia,3,W,Leaf,Semi_Exclusion,22,2,20,0,90.9,0.0,73.23,,,,,
MH3S,7/14/15,1st,1,Algimia,3,S,Leaf,Exclusion,12,8,4,0,33.3,0.0,-96.30,,,,,
MH4E,7/14/15,1st,1,Algimia,4,E,Leaf,Predation,14,0,14,0,100.0,0.0,100.00,,,,,
MH4N,7/14/15,1st,1,Algimia,4,N,Leaf,Semi_Exclusion,30,1,29,0,96.7,0.0,90.19,,,,,
MH4O,7/14/15,1st,1,Algimia,4,W,Leaf,Exclusion,24,15,9,0,37.5,0.0,-84.03,,,,,
MH4S,7/14/15,1st,1,Algimia,4,S,Leaf,Predation,20,0,20,0,100.0,0.0,100.00,,,,,
MH5N,7/14/15,1st,1,Algimia,5,N,Leaf,Semi_Exclusion,28,0,28,0,100.0,0.0,100.00,,,,,
MH5S,7/14/15,1st,1,Algimia,5,S,Leaf,Exclusion,15,9,6,0,40.0,0.0,-76.67,,,,,
MH6E,7/14/15,1st,1,Algimia,6,E,Leaf,Predation,12,1,11,0,91.7,0.0,75.46,,,,,
MH6O,7/14/15,1st,1,Algimia,6,W,Leaf,Semi_Exclusion,36,6,30,0,83.3,0.0,50.93,,,,,
MH6S,7/14/15,1st,1,Algimia,6,S,Leaf,Exclusion,35,0,35,0,100.0,0.0,100.00,,,,,
MH7O,7/14/15,1st,1,Algimia,7,W,Leaf,Predation,27,0,27,0,100.0,0.0,100.00,,,,,
MH7S,7/14/15,1st,1,Algimia,7,S,Leaf,Semi_Exclusion,16,4,12,0,75.0,0.0,26.39,,,,,
MH8E,7/14/15,1st,1,Algimia,8,E,Leaf,Exclusion,28,5,23,0,82.1,0.0,47.42,,,,,
MH8N,7/14/15,1st,1,Algimia,8,N,Leaf,Predation,20,1,19,0,95.0,0.0,85.28,,,,,
MH8O,7/14/15,1st,1,Algimia,8,N,Leaf,Predation,28,0,28,0,100.0,0.0,100.00,,,,,
MH9N,7/14/15,1st,1,Algimia,9,N,Leaf,Exclusion,17,7,10,0,58.8,0.0,-21.24,,,,,
MH90,7/14/15,1st,1,Algimia,9,W,Leaf,Predation,35,0,35,0,100.0,0.0,100.00,,,,,
MH9S,7/14/15,1st,1,Algimia,9,S,Leaf,Semi_Exclusion,20,5,15,0,75.0,0.0,26.39,,,,,
MH10E,7/14/15,1st,1,Algimia,10,E,Leaf,Exclusion,28,0,28,0,100.0,0.0,100.00,,,,,
MH10N,7/14/15,1st,1,Algimia,10,N,Leaf,Predation,22,0,22,0,100.0,0.0,100.00,,,,,
MH10O,7/14/15,1st,1,Algimia,10,W,Leaf,Semi_Exclusion,15,3,12,0,80.0,0.0,41.11,,,,,
MH10S,7/14/15,1st,1,Algimia,10,S,Leaf,Exclusion,31,13,18,0,58.1,0.0,-23.48,,,,,
MH11E,7/14/15,1st,1,Algimia,11,E,Leaf,Predation,23,0,23,0,100.0,0.0,100.00,,,,,
MH11N,7/14/15,1st,1,Algimia,11,N,Leaf,Semi_Exclusion,21,13,8,0,38.1,0.0,-82.28,,,,,
MH11O,7/14/15,1st,1,Algimia,11,W,Leaf,Exclusion,26,4,22,0,84.6,0.0,54.70,,,,,
MH11S,7/14/15,1st,1,Algimia,11,S,Leaf,Predation,39,0,39,0,100.0,0.0,100.00,,,,,
MH12E,7/14/15,1st,1,Algimia,12,E,Leaf,Semi_Exclusion,17,1,16,0,94.1,0.0,82.68,,,,,
MH12O,7/14/15,1st,1,Algimia,12,W,Leaf,Predation,15,0,15,0,100.0,0.0,100.00,,,,,
MH12S,7/14/15,1st,1,Algimia,12,S,Leaf,Exclusion,10,1,9,0,90.0,0.0,70.56,,,,,
MH1E,7/16/15,1st,1,IVIA,1,E,Leaf,Exclusion,12,10,2,0,16.7,0.0,-110.56,,,,,
MH1O,7/16/15,1st,1,IVIA,1,W,Leaf,Semi_Exclusion,10,0,10,0,100.0,0.0,100.00,,,,,
MH2E,7/16/15,1st,1,IVIA,2,E,Leaf,Predation,27,0,27,0,100.0,0.0,100.00,,,,,
MH2N,7/16/15,1st,1,IVIA,2,N,Leaf,Semi_Exclusion,30,10,20,0,66.7,0.0,15.78,,,,,
MH2O,7/16/15,1st,1,IVIA,2,W,Leaf,Exclusion,15,15,0,0,0.0,0.0,-152.67,,,,,
MH3E,7/16/15,1st,1,IVIA,3,E,Leaf,Exclusion,22,1,21,0,95.5,0.0,88.52,,,,,
MH3N,7/16/15,1st,1,IVIA,3,N,Leaf,Semi_Exclusion,27,0,27,0,100.0,0.0,100.00,,,,,
MH3O,7/16/15,1st,1,IVIA,3,W,Leaf,Predation,31,0,31,0,100.0,0.0,100.00,,,,,
MH3S,7/16/15,1st,1,IVIA,3,S,Leaf,Predation,37,0,37,0,100.0,0.0,100.00,,,,,
MH4E,7/16/15,1st,1,IVIA,4,E,Leaf,Semi_Exclusion,29,1,28,0,96.6,0.0,91.29,,,,,
MH4N,7/16/15,1st,1,IVIA,4,N,Leaf,Exclusion,32,3,29,0,90.6,0.0,76.31,,,,,
MH4O,7/16/15,1st,1,IVIA,4,W,Leaf,Predation,21,0,21,0,100.0,0.0,100.00,,,,,
MH4S,7/16/15,1st,1,IVIA,4,S,Leaf,Semi_Exclusion,30,5,25,0,83.3,0.0,57.89,,,,,
MH5E,7/16/15,1st,1,IVIA,5,E,Leaf,Semi_Exclusion,36,1,35,0,97.2,0.0,92.98,,,,,
MH5N,7/16/15,1st,1,IVIA,5,N,Leaf,Predation,12,0,12,0,100.0,0.0,100.00,,,,,
MH5O,7/16/15,1st,1,IVIA,5,W,Leaf,Exclusion,20,15,5,0,25.0,0.0,-89.50,,,,,
MH6E,7/16/15,1st,1,IVIA,6,E,Leaf,Predation,18,2,16,0,88.9,0.0,71.93,,,,,
MH6O,7/16/15,1st,1,IVIA,6,W,Leaf,Exclusion,26,12,14,0,53.8,0.0,-16.62,,,,,
MH6S,7/16/15,1st,1,IVIA,6,S,Leaf,Semi_Exclusion,26,2,24,0,92.3,0.0,80.56,,,,,
MH7E,7/16/15,1st,1,IVIA,7,E,Leaf,Semi_Exclusion,13,13,0,0,0.0,0.0,-152.67,,,,,
MH7N,7/16/15,1st,1,IVIA,7,N,Leaf,Predation,29,5,24,1,82.8,3.4,56.44,,,,,
MH7O,7/16/15,1st,1,IVIA,7,W,Leaf,Exclusion,37,19,18,0,48.6,0.0,-29.75,,,,,
MH8E,7/16/15,1st,1,IVIA,8,E,Leaf,Exclusion,36,27,9,0,25.0,0.0,-89.50,,,,,
MH8N,7/16/15,1st,1,IVIA,8,N,Leaf,Exclusion,33,27,6,0,18.2,0.0,-106.73,,,,,
MH8O,7/16/15,1st,1,IVIA,8,W,Leaf,Semi_Exclusion,34,3,31,0,91.2,0.0,77.71,,,,,
MH8S,7/16/15,1st,1,IVIA,8,S,Leaf,Predation,47,0,47,0,100.0,0.0,100.00,,,,,
MH9E,7/16/15,1st,1,IVIA,9,E,Leaf,Predation,29,0,29,0,100.0,0.0,100.00,,,,,
MH9O,7/16/15,1st,1,IVIA,9,W,Leaf,Semi_Exclusion,15,0,15,0,100.0,0.0,100.00,,,,,
MH10E,7/16/15,1st,1,IVIA,10,E,Leaf,Predation,17,0,17,0,100.0,0.0,100.00,,,,,
MH10N,7/16/15,1st,1,IVIA,10,N,Leaf,Semi_Exclusion,30,0,30,0,100.0,0.0,100.00,,,,,
MH10O,7/16/15,1st,1,IVIA,10,W,Leaf,Exclusion,13,8,5,0,38.5,0.0,-55.49,,,,,
MH10S,7/16/15,1st,1,IVIA,10,S,Leaf,Predation,20,0,20,0,100.0,0.0,100.00,,,,,
MH11N,7/16/15,1st,1,IVIA,11,N,Leaf,Exclusion,43,0,43,0,100.0,0.0,100.00,,,,,
MH11O,7/16/15,1st,1,IVIA,11,W,Leaf,Semi_Exclusion,23,0,23,0,100.0,0.0,100.00,,,,,
MH12E,7/16/15,1st,1,IVIA,12,E,Leaf,Exclusion,42,0,42,0,100.0,0.0,100.00,,,,,
MH12N,7/16/15,1st,1,IVIA,12,N,Leaf,Semi_Exclusion,27,0,27,0,100.0,0.0,100.00,,,,,
MH12O,7/16/15,1st,1,IVIA,12,W,Leaf,Predation,23,2,21,0,91.3,0.0,78.03,,,,,
MH12S,7/16/15,1st,1,IVIA,12,S,Leaf,Predation,17,1,16,0,94.1,0.0,85.14,,,,,
MH13E,7/16/15,1st,1,IVIA,13,E,Leaf,Semi_Exclusion,40,1,39,0,97.5,0.0,93.68,,,,,
MH13N,7/16/15,1st,1,IVIA,13,N,Leaf,Predation,42,0,42,0,100.0,0.0,100.00,,,,,
MH13O,7/16/15,1st,1,IVIA,13,W,Leaf,Exclusion,28,7,21,0,75.0,0.0,36.83,,,,,
MH13S,7/16/15,1st,1,IVIA,13,S,Leaf,Semi_Exclusion,34,0,34,0,100.0,0.0,100.00,,,,,
MH14N,7/16/15,1st,1,IVIA,14,N,Leaf,Exclusion,20,6,14,0,70.0,0.0,24.20,,,,,
MH14S,7/16/15,1st,1,IVIA,14,S,Leaf,Predation,27,0,27,0,100.0,0.0,100.00,,,,,
MH1E,9/17/15,2nd,2,Algimia,1,E,Leaf,Exclusion,19,5,14,0,73.7,0.0,-54.25,,,,,
MH1O,9/17/15,2nd,2,Algimia,1,W,Leaf,Predation,31,0,31,0,100.0,0.0,100.00,,,,,
MH1S,9/17/15,2nd,2,Algimia,1,S,Leaf,Semi_Exclusion,12,9,3,3,25.0,25.0,-339.62,,,,,
MH2E,9/17/15,2nd,2,Algimia,2,E,Leaf,Predation,21,3,18,0,85.7,0.0,16.26,,,,,
MH2O,9/17/15,2nd,2,Algimia,2,W,Leaf,Semi_Exclusion,31,9,22,0,71.0,0.0,-70.17,,,,,
MH2S,9/17/15,2nd,2,Algimia,2,S,Leaf,Exclusion,10,6,4,0,40.0,0.0,-251.69,,,,,
MH3N,9/17/15,2nd,2,Algimia,3,N,Leaf,Predation,16,8,8,0,50.0,0.0,-193.08,,,,,
MH4N,9/17/15,2nd,2,Algimia,4,N,Leaf,Exclusion,12,4,8,0,66.7,0.0,-95.38,,,,,
MH4O,9/17/15,2nd,2,Algimia,4,W,Leaf,Semi_Exclusion,19,8,11,0,57.9,0.0,-146.80,,,,,
MH4S,9/17/15,2nd,2,Algimia,4,S,Leaf,Predation,15,4,11,1,73.3,6.7,-56.31,,,,,
MH5E,9/17/15,2nd,2,Algimia,5,E,Leaf,Exclusion,35,1,34,0,97.1,0.0,83.25,,,,,
MH5N,9/17/15,2nd,2,Algimia,5,N,Leaf,Semi_Exclusion,12,0,12,0,100.0,0.0,100.00,,,,,
MH6E,9/17/15,2nd,2,Algimia,6,E,Leaf,Semi_Exclusion,16,2,14,1,87.5,6.3,26.73,,,,,
MH6N,9/17/15,2nd,2,Algimia,6,N,Leaf,Exclusion,11,0,11,0,100.0,0.0,100.00,,,,,
MH6S,9/17/15,2nd,2,Algimia,6,S,Leaf,Predation,10,0,10,0,100.0,0.0,100.00,,,,,
MH7O,9/17/15,2nd,2,Algimia,7,W,Leaf,Predation,13,1,12,1,92.3,7.7,54.91,,,,,
MH7S,9/17/15,2nd,2,Algimia,7,S,Leaf,Semi_Exclusion,41,12,29,2,70.7,4.9,-71.56,,,,,
MH8O,9/17/15,2nd,2,Algimia,8,N,Leaf,Exclusion,21,11,10,0,47.6,0.0,-207.03,,,,,
MH9E,9/17/15,2nd,2,Algimia,9,E,Leaf,Exclusion,18,5,13,0,72.2,0.0,-62.82,,,,,
MH9N,9/17/15,2nd,2,Algimia,9,N,Leaf,Predation,15,1,14,2,93.3,13.3,60.92,,,,,
MH9O,9/17/15,2nd,2,Algimia,9,W,Leaf,Semi_Exclusion,27,0,27,0,100.0,0.0,100.00,,,,,
MH10E,9/17/15,2nd,2,Algimia,10,E,Leaf,Exclusion,14,0,14,0,100.0,0.0,100.00,,,,,
MH10N,9/17/15,2nd,2,Algimia,10,N,Leaf,Predation,14,0,14,3,100.0,21.4,100.00,,,,,
MH10S,9/17/15,2nd,2,Algimia,10,S,Leaf,Semi_Exclusion,12,0,12,0,100.0,0.0,100.00,,,,,
MH11S,9/17/15,2nd,2,Algimia,11,S,Leaf,Predation,17,0,17,0,100.0,0.0,100.00,,,,,
MH12O,9/17/15,2nd,2,Algimia,12,W,Leaf,Semi_Exclusion,22,3,19,0,86.4,0.0,20.07,,,,,
MH13E,9/17/15,2nd,2,Algimia,13,E,Leaf,Exclusion,17,2,15,0,88.2,0.0,31.04,,,,,
MF1E,9/17/15,2nd,2,Algimia,1,E,Fruit,Semi_Exclusion,17,0,17,0,100.0,0.0,100.00,,,,,
MF1N,9/17/15,2nd,2,Algimia,1,N,Fruit,Predation,28,1,27,1,96.4,3.6,79.07,,,,,
MF2N,9/17/15,2nd,2,Algimia,2,N,Fruit,Exclusion,17,0,17,0,100.0,0.0,100.00,,,,,
MF2S,9/17/15,2nd,2,Algimia,2,S,Fruit,Predation,14,0,14,1,100.0,7.1,100.00,,,,,
MF4E,9/17/15,2nd,2,Algimia,4,E,Fruit,Semi_Exclusion,20,5,15,0,75.0,0.0,-46.54,,,,,
MF4N,9/17/15,2nd,2,Algimia,4,N,Fruit,Exclusion,19,11,8,0,42.1,0.0,-239.35,,,,,
MF4O,9/17/15,2nd,2,Algimia,4,W,Fruit,Semi_Exclusion,33,0,33,0,100.0,0.0,100.00,,,,,
MF4S,9/17/15,2nd,2,Algimia,4,S,Fruit,Predation,21,1,20,0,95.2,0.0,72.09,,,,,
MF5O,9/17/15,2nd,2,Algimia,5,W,Fruit,Exclusion,21,5,16,0,76.2,0.0,-39.56,,,,,
MF6E,9/17/15,2nd,2,Algimia,6,E,Fruit,Predation,12,0,12,3,100.0,25.0,100.00,,,,,
MF6N,9/17/15,2nd,2,Algimia,6,N,Fruit,Semi_Exclusion,41,3,38,0,92.7,0.0,57.11,,,,,
MF7E,9/17/15,2nd,2,Algimia,7,E,Fruit,Semi_Exclusion,21,1,20,0,95.2,0.0,72.09,,,,,
MF7N,9/17/15,2nd,2,Algimia,7,N,Fruit,Exclusion,21,0,21,0,100.0,0.0,100.00,,,,,
MF7S,9/17/15,2nd,2,Algimia,7,S,Fruit,Predation,10,0,10,0,100.0,0.0,100.00,,,,,
MF8O,9/17/15,2nd,2,Algimia,8,W,Fruit,Exclusion,16,8,8,0,50.0,0.0,-193.08,,,,,
MF9N,9/17/15,2nd,2,Algimia,9,N,Fruit,Semi_Exclusion,11,0,11,1,100.0,9.1,100.00,,,,,
MF9O,9/17/15,2nd,2,Algimia,9,W,Fruit,Predation,10,0,10,1,100.0,10.0,100.00,,,,,
MF10N,9/17/15,2nd,2,Algimia,10,N,Fruit,Predation,21,0,21,0,100.0,0.0,100.00,,,,,
MF10O,9/17/15,2nd,2,Algimia,10,W,Fruit,Exclusion,39,0,39,0,100.0,0.0,100.00,,,,,
MF11E,9/17/15,2nd,2,Algimia,11,E,Fruit,Exclusion,18,1,17,0,94.4,0.0,67.44,,,,,
MF11N,9/17/15,2nd,2,Algimia,11,N,Fruit,Semi_Exclusion,15,0,15,0,100.0,0.0,100.00,,,,,
MF12E,9/17/15,2nd,2,Algimia,12,E,Fruit,Semi_Exclusion,31,1,30,3,96.8,9.7,81.09,,,,,
MF12N,9/17/15,2nd,2,Algimia,12,N,Fruit,Semi_Exclusion,17,1,16,0,94.1,0.0,65.52,,,,,
MF12O,9/17/15,2nd,2,Algimia,12,W,Fruit,Predation,10,0,10,0,100.0,0.0,100.00,,,,,
MF13E,9/17/15,2nd,2,Algimia,13,E,Fruit,Exclusion,34,0,34,0,100.0,0.0,100.00,,,,,
MF13N,9/17/15,2nd,2,Algimia,13,N,Fruit,Exclusion,39,6,33,0,84.6,0.0,9.82,,,,,
MF13O,9/17/15,2nd,2,Algimia,13,W,Fruit,Predation,27,0,27,0,100.0,0.0,100.00,,,,,
MF13S,9/17/15,2nd,2,Algimia,13,S,Fruit,Predation,26,0,26,0,100.0,0.0,100.00,,,,,
MH1E,9/17/15,2nd,2,IVIA,1,E,Leaf,Predation,35,0,35,2,100.0,5.7,100.00,,,,,
MH2N,9/17/15,2nd,2,IVIA,2,N,Leaf,Semi_Exclusion,23,1,22,0,95.7,0.0,90.68,,,,,
MH3E,9/17/15,2nd,2,IVIA,3,E,Leaf,Exclusion,34,11,23,0,67.6,0.0,30.65,,,,,
MH3N,9/17/15,2nd,2,IVIA,3,N,Leaf,Predation,12,0,12,5,100.0,41.7,100.00,,,,,
MH3O,9/17/15,2nd,2,IVIA,3,W,Leaf,Semi_Exclusion,17,1,16,0,94.1,0.0,87.39,,,,,
MH4N,9/17/15,2nd,2,IVIA,4,N,Leaf,Predation,26,2,24,2,92.3,7.7,83.51,,,,,
MH4S,9/17/15,2nd,2,IVIA,4,S,Leaf,Exclusion,27,10,17,1,63.0,3.7,20.61,,,,,
MH5N,9/17/15,2nd,2,IVIA,5,N,Leaf,Semi_Exclusion,42,13,29,0,69.0,0.0,33.65,,,,,
MH5O,9/17/15,2nd,2,IVIA,5,W,Leaf,Exclusion,39,2,37,0,94.9,0.0,89.01,,,,,
MH6E,9/17/15,2nd,2,IVIA,6,E,Leaf,Predation,12,5,7,0,58.3,0.0,10.69,,,,,
MH6O,9/17/15,2nd,2,IVIA,6,W,Leaf,Semi_Exclusion,20,3,17,0,85.0,0.0,67.85,,,,,
MH6S,9/17/15,2nd,2,IVIA,6,S,Leaf,Exclusion,26,18,8,0,30.8,0.0,-48.40,,,,,
MH7E,9/17/15,2nd,2,IVIA,7,E,Leaf,Semi_Exclusion,30,5,25,0,83.3,0.0,64.27,,,,,
MH7N,9/17/15,2nd,2,IVIA,7,N,Leaf,Predation,11,0,11,0,100.0,0.0,100.00,,,,,
MH7O,9/17/15,2nd,2,IVIA,7,W,Leaf,Exclusion,26,14,12,0,46.2,0.0,-15.42,,,,,
MH8N,9/17/15,2nd,2,IVIA,8,N,Leaf,Predation,11,1,10,0,90.9,0.0,80.51,,,,,
MH8S,9/17/15,2nd,2,IVIA,8,S,Leaf,Semi_Exclusion,10,1,9,0,90.0,0.0,78.56,,,,,
MH9S,9/17/15,2nd,2,IVIA,9,S,Leaf,Predation,10,0,10,0,100.0,0.0,100.00,,,,,
MH10E,9/17/15,2nd,2,IVIA,10,E,Leaf,Exclusion,20,0,20,0,100.0,0.0,100.00,,,,,
MH10N,9/17/15,2nd,2,IVIA,10,N,Leaf,Predation,31,8,23,2,74.2,6.5,44.68,,,,,
MH10S,9/17/15,2nd,2,IVIA,10,S,Leaf,Semi_Exclusion,31,1,30,0,96.8,0.0,93.09,,,,,
MH11E,9/17/15,2nd,2,IVIA,11,E,Leaf,Semi_Exclusion,15,0,15,0,100.0,0.0,100.00,,,,,
