CODE,DATE,GENERATION,YEAR,LOCATION,TREE,TREE WRIENTATIWN,PLANT PART,TREATMENT,INITIAL N1,SURVIVORS,PREDATED SCALES,PARASITISED SCALES,MORTALITY,PARASITISM,CORRECTED MORTALITY,,,,,
MF8O,9/19/14,2nd,1,Algimia,8,W,Fruit,Predation,29,1,28,0,96.6,0.0,91.65,,,,,
MF8S,9/19/14,2nd,1,Algimia,8,S,Fruit,Exclusion,11,11,0,0,0.0,0.0,-142.20,,,,,
MF9S,9/19/14,2nd,1,Algimia,9,S,Fruit,Exclusion,23,20,3,0,13.0,0.0,-110.61,,,,,
MF10E,9/19/14,2nd,1,Algimia,10,E,Fruit,Predation,13,0,13,0,100.0,0.0,100.00,,,,,
MF11E,9/19/14,2nd,1,Algimia,11,E,Fruit,Exclusion,18,0,18,0,100.0,0.0,100.00,,,,,
MF11N,9/19/14,2nd,1,Algimia,11,N,Fruit,Predation,18,9,9,2,50.0,11.1,-21.10,,,,,
MF11O,9/19/14,2nd,1,Algimia,11,W,Fruit,Semi_Exclusion,22,9,13,1,59.1,4.5,0.92,,,,,
MF12N,9/19/14,2nd,1,Algimia,12,N,Fruit,Exclusion,29,27,2,0,6.9,0.0,-125.49,,,,,
MF12O,9/19/14,2nd,1,Algimia,12,W,Fruit,Semi_Exclusion,33,5,28,13,84.8,39.4,63.30,,,,,
MF12S,9/19/14,2nd,1,Algimia,12,S,Fruit,Semi_Exclusion,35,20,15,0,42.9,0.0,-38.40,,,,,
MF13E,9/19/14,2nd,1,Algimia,13,E,Fruit,Exclusion,26,8,18,1,69.2,3.8,25.48,,,,,
MF13O,9/19/14,2nd,1,Algimia,13,W,Fruit,Predation,15,1,14,0,93.3,0.0,83.85,,,,,
MF13S,9/19/14,2nd,1,Algimia,13,S,Fruit,Exclusion,16,16,0,0,0.0,0.0,-142.20,,,,,
MH1N,9/16/14,2nd,1,IVIA,1,N,Leaf,Predation,13,0,13,1,100.0,7.7,100.00,,,,,
MH1O,9/16/14,2nd,1,IVIA,1,W,Leaf,Predation,34,5,29,0,85.3,0.0,63.12,,,,,
MH1S,9/16/14,2nd,1,IVIA,1,S,Leaf,Exclusion,26,4,22,0,84.6,0.0,61.42,,,,,
MH2E,9/16/14,2nd,1,IVIA,2,E,Leaf,Semi_Exclusion,25,3,22,0,88.0,0.0,69.90,,,,,
MH2S,9/16/14,2nd,1,IVIA,2,S,Leaf,Semi_Exclusion,22,3,19,0,86.4,0.0,65.80,,,,,
MH3E,9/16/14,2nd,1,IVIA,3,E,Leaf,Semi_Exclusion,29,4,25,0,86.2,0.0,65.41,,,,,
MH3O,9/16/14,2nd,1,IVIA,3,W,Leaf,Semi_Exclusion,28,0,28,0,100.0,0.0,100.00,,,,,
MH5E,9/16/14,2nd,1,IVIA,5,E,Leaf,Exclusion,37,7,30,0,81.1,0.0,52.55,,,,,
MH5O,9/16/14,2nd,1,IVIA,5,W,Leaf,Semi_Exclusion,35,2,33,0,94.3,0.0,85.67,,,,,
MH6S,9/16/14,2nd,1,IVIA,6,S,Leaf,Predation,20,0,20,0,100.0,0.0,100.00,,,,,
MH7N,9/16/14,2nd,1,IVIA,7,N,Leaf,Predation,26,18,8,0,30.8,0.0,-73.63,,,,,
MH7O,9/16/14,2nd,1,IVIA,7,W,Leaf,Exclusion,27,0,27,0,100.0,0.0,100.00,,,,,
MH7S,9/16/14,2nd,1,IVIA,7,S,Leaf,Exclusion,28,0,28,0,100.0,0.0,100.00,,,,,
MH8E,9/16/14,2nd,1,IVIA,8,E,Leaf,Predation,27,0,27,0,100.0,0.0,100.00,,,,,
MH8N,9/16/14,2nd,1,IVIA,8,N,Leaf,Predation,24,3,21,1,87.5,4.2,68.65,,,,,
MH8O,9/16/14,2nd,1,IVIA,8,W,Leaf,Exclusion,23,0,23,0,100.0,0.0,100.00,,,,,
MH9N,9/16/14,2nd,1,IVIA,9,N,Leaf,Exclusion,17,0,17,0,100.0,0.0,100.00,,,,,
MH9S,9/16/14,2nd,1,IVIA,9,S,Leaf,Predation,28,3,25,0,89.3,0.0,73.13,,,,,
MH10N,9/16/14,2nd,1,IVIA,10,N,Leaf,Semi_Exclusion,26,1,25,0,96.2,0.0,90.35,,,,,
MH10O,9/16/14,2nd,1,IVIA,10,W,Leaf,Exclusion,30,9,21,0,70.0,0.0,24.76,,,,,
MH11N,9/16/14,2nd,1,IVIA,11,N,Leaf,Semi_Exclusion,33,0,33,0,100.0,0.0,100.00,,,,,
MH12N,9/16/14,2nd,1,IVIA,12,N,Leaf,Exclusion,33,6,27,0,81.8,0.0,54.40,,,,,
MH13E,9/16/14,2nd,1,IVIA,13,E,Leaf,Semi_Exclusion,14,5,9,0,64.3,0.0,10.43,,,,,
MH13N,9/16/14,2nd,1,IVIA,13,N,Leaf,Predation,30,0,30,0,100.0,0.0,100.00,,,,,
MF1O,9/16/14,2nd,1,IVIA,1,W,Fruit,Predation,22,3,19,0,86.4,0.0,65.80,,,,,
MF1S,9/16/14,2nd,1,IVIA,1,S,Fruit,Predation,16,4,12,1,75.0,6.3,37.30,,,,,
MF2E,9/16/14,2nd,1,IVIA,2,E,Fruit,Predation,29,3,26,3,89.7,10.3,74.06,,,,,
MF2O,9/16/14,2nd,1,IVIA,2,W,Fruit,Semi_Exclusion,14,5,9,1,64.3,7.1,10.43,,,,,
MF2S,9/16/14,2nd,1,IVIA,2,S,Fruit,Semi_Exclusion,13,0,13,2,100.0,15.4,100.00,,,,,
MF3E,9/16/14,2nd,1,IVIA,3,E,Fruit,Exclusion,13,13,0,0,0.0,0.0,-150.79,,,,,
MF3O,9/16/14,2nd,1,IVIA,3,W,Fruit,Predation,28,2,26,1,92.9,3.6,82.09,,,,,
MF4E,9/16/14,2nd,1,IVIA,4,E,Fruit,Exclusion,31,21,10,1,32.3,3.2,-69.89,,,,,
MF4S,9/16/14,2nd,1,IVIA,4,S,Fruit,Predation,21,7,14,9,66.7,42.9,16.40,,,,,
MF5E,9/16/14,2nd,1,IVIA,5,E,Fruit,Predation,31,10,21,0,67.7,0.0,19.10,,,,,
MF5N,9/16/14,2nd,1,IVIA,5,N,Fruit,Semi_Exclusion,30,9,21,0,70.0,0.0,24.76,,,,,
MF5O,9/16/14,2nd,1,IVIA,5,W,Fruit,Exclusion,39,36,3,0,7.7,0.0,-131.50,,,,,
MF5S,9/16/14,2nd,1,IVIA,5,S,Fruit,Semi_Exclusion,28,10,18,8,64.3,28.6,10.43,,,,,
